,UserID,Gender,Age,Occupation,Zip-code,zip,city_name,state_name,county_name,zip_code,city,state,county,same
3132,3133,M,18,4,33720,,,,,,,,,False
3140,3141,M,25,14,81679,,,,,,,,,False
3161,3162,M,25,1,8854-3115,,,,,,,,,False
3169,3170,M,25,0,8461,,,,,,,,,False
3286,3287,M,56,13,27514-3540,,,,,,,,,False
3307,3308,F,18,20,15701-1348,,,,,,,,,False
3327,3328,M,56,19,91790-1161,,,,,,,,,False
3332,3333,M,18,16,29404-2205,,,,,,,,,False
3354,3355,M,25,1,400060,,,,,,,,,False
3426,3427,M,25,14,78267,,,,,,,,,False
3525,3526,M,35,2,62263-3004,,,,,,,,,False
3545,3546,M,25,20,41706,,,,,,,,,False
3547,3548,M,45,7,92965,,,,,,,,,False
3552,3553,M,35,16,61600,,,,,,,,,False
3576,3577,F,56,0,231,,,,,,,,,False
3674,3675,M,35,7,6680,,,,,,,,,False
3684,3685,M,25,5,55100,,,,,,,,,False
3737,3738,M,45,7,1904-1355,,,,,,,,,False
3770,3771,M,25,1,14982,,,,,,,,,False
3847,3848,M,25,15,70809-2612,,,,,,,,,False
3904,3905,M,25,17,361069,,,,,,,,,False
3937,3938,M,25,2,92711-0571,,,,,,,,,False
3955,3956,M,25,0,94930-2010,,,,,,,,,False
4011,4012,M,18,4,49503-1313,,,,,,,,,False
4013,4014,M,25,0,48316-5601,,,,,,,,,False
4037,4038,M,50,6,11510-2001,,,,,,,,,False
4123,4124,M,25,18,62330-1408,,,,,,,,,False
4226,4227,M,25,19,11414-2520,,,,,,,,,False
4453,4454,M,25,20,111225,,,,,,,,,False
4457,4458,F,25,4,15701-2017,,,,,,,,,False
4491,4492,M,56,13,45322-3132,,,,,,,,,False
4537,4538,M,25,12,956456,,,,,,,,,False
4722,4723,M,35,7,90014-1718,,,,,,,,,False
4724,4725,M,35,5,96707-1321,,,,,,,,,False
4745,4746,M,50,1,19087-3622,,,,,,,,,False
4807,4808,M,35,0,96707-1321,,,,,,,,,False
4860,4861,M,25,4,4309,,,,,,,,,False
4902,4903,M,35,12,95952,,,,,,,,,False
4912,4913,F,25,1,970025,,,,,,,,,False
4964,4965,M,1,10,63123-1507,,,,,,,,,False
4972,4973,F,56,2,949702,,,,,,,,,False
5059,5060,M,45,17,84109-2001,,,,,,,,,False
5099,5100,M,50,6,193122042,,,,,,,,,False
5144,5145,M,35,7,77565-2332,,,,,,,,,False
5215,5216,M,18,2,81291,,,,,,,,,False
5295,5296,F,1,0,27245,,,,,,,,,False
5310,5311,M,50,0,62025-8000,,,,,,,,,False
5336,5337,F,35,3,2725-1010,,,,,,,,,False
5359,5360,M,18,12,43650,,,,,,,,,False
5379,5380,M,18,4,1125,,,,,,,,,False
5407,5408,M,25,20,11230-1710,,,,,,,,,False
5469,5470,M,56,7,20003-2712,,,,,,,,,False
5472,5473,M,25,1,20120-6354,,,,,,,,,False
5503,5504,M,45,7,85287-2702,,,,,,,,,False
5509,5510,M,18,4,191004,,,,,,,,,False
5528,5529,M,18,6,5273,,,,,,,,,False
5599,5600,F,45,0,12833-2000,,,,,,,,,False
5664,5665,M,18,4,10461-1301,,,,,,,,,False
5670,5671,M,25,1,2146,,,,,,,,,False
5681,5682,M,18,0,23455-4959,,,,,,,,,False
5802,5803,M,1,10,1597,,,,,,,,,False
5859,5860,F,25,4,91428,,,,,,,,,False
5903,5904,F,45,12,954025,,,,,,,,,False
5924,5925,F,25,0,90035-4444,,,,,,,,,False
5966,5967,M,50,16,73069-5429,,,,,,,,,False
5984,5985,F,18,4,78705-5221,,,,,,,,,False
